# 高频两字词（基线盘）
ni	你
hao	好
women	我们
tamen	他们|她们
jintian	今天
mingtian	明天
zuotian	昨天
xianzai	现在
shijian	时间
gongzuo	工作
xuexi	学习
pengyou	朋友
laoshi	老师
xuesheng	学生
yijing	已经
keyi	可以
zhidao	知道
juede	觉得
kaishi	开始
wancheng	完成
wenti	问题
banfa	办法
yisi	意思
guanxi	关系
ganjue	感觉
shenghuo	生活
shijie	世界
guojia	国家
shehui	社会
jingji	经济
wenhua	文化
lishi	历史
ziran	自然
kexue	科学
jishu	技术
xinxi	信息
xitong	系统
shezhi	设置
gengxin	更新
xiaoxi	消息
tongzhi	通知
wenjian	文件
# 三字及以上常用词
diannao	电脑
shouji	手机
dianshi	电视
qingsong	轻松
kuaile	快乐
gaoxing	高兴
nanguo	难过
danxin	担心
fangxin	放心
xiawu	下午
shangwu	上午
wanshang	晚上
zhoumo	周末
fangjia	放假
lvxing	旅行
yinhang	银行
qianbao	钱包
zhifubao	支付宝
weixin	微信
shipin	视频
yinyue	音乐
youxi	游戏
ruanjian	软件
yingpan	硬盘
neicun	内存
wangluo	网络
fuwuqi	服务器
yunjisuan	云计算
jiqiren	机器人
wurenji	无人机
rengongzhineng	人工智能
dashujufenxi	大数据分析
# 成语（全拼无歧义）
yimingjingren	一鸣惊人
sanxineryi	三心二意
yixinyiyi	一心一意
shiquanqimei	十全十美
xiongyouchengzhu	胸有成竹
qianxinwanku	千辛万苦
# 热词/新词（ice/frost 扩展词优势区）
wanghong	网红
zhibo	直播
dianzan	点赞
zhuanfa	转发
pinglun	评论
shoucang	收藏
guanzhu	关注
fensi	粉丝
bozhu	博主
chuangzuozhe	创作者
neirong	内容
shequn	社群
neijuan	内卷
tangping	躺平
daka	打卡
baokuan	爆款
dianjing	电竞
yuanyuzhou	元宇宙
qukuailian	区块链
shenduxuexi	深度学习
tishici	提示词
moxing	模型
suanli	算力
kaifa	开发
# 互联网/技术词
bianyi	编译
bushu	部署
jiqun	集群
rongqi	容器
jingxiang	镜像
shujuku	数据库
suoyin	索引
huancong	缓存
bingfa	并发
fuzai	负载
duoxiancheng	多线程
yibu	异步
canshu	参数
hanshu	函数
bianliang	变量
shuzu	数组
zifuchuan	字符串
zhengze	正则
jiekou	接口
xieyi	协议
jiemi	解密
jiami	加密
yuming	域名
zhengshu	证书
fanghuoqiang	防火墙
jiasuqi	加速器
# 生活/出行/金融
kuaidi	快递
waimai	外卖
ditie	地铁
gongjiaoche	公交车
huoche	火车
feiji	飞机
hangban	航班
jiudian	酒店
jingdian	景点
menpiao	门票
gupiao	股票
jijin	基金
licai	理财
daikuan	贷款
huankuan	还款
xinyongka	信用卡
gushi	股市
# 口语短句（造句/词序）
xiexieni	谢谢你
bukeqi	不客气
meiguanxi	没关系
zaoshanghao	早上好
duibuqi	对不起
wozhidaole	我知道了
nizaiganma	你在干嘛
woxiangchifan	我想吃饭
mingtianjian	明天见
dengyixia	等一下
kuaiyidian	快一点
taihaole	太好了
zhegeshishenme	这是什么
zenmele	怎么了
buyaojin	不要紧
# 长句（分词+词序综合考验）
zheshiyigehaozhuyi	这是一个好主意
tajintianhenmang	他今天很忙
niyaobuyaohekafei	你要不要喝咖啡
wobuxihuan	我不喜欢
xiawuqugongyuan	下午去公园
womingtianyoukong	我明天有空
jintianxiayu	今天下雨
qingnidengyixia	请你等一下
womenyiqiqu	我们一起去
tazaikanxiaoshuo	他在看小说
